Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2144.5548903456643
FDW14,OUT017,1150.5954189518566
NCN55,OUT010,2188.941141733014
FDQ58,OUT017,2221.7074731156226
FDY38,OUT027,5032.742418518983
FDH56,OUT046,1820.9885971553072
FDL48,OUT018,1213.5408610228533
FDC48,OUT027,2760.208781159783
FDN33,OUT045,1452.6003324148915
FDA36,OUT017,2715.1205193026535
FDT44,OUT017,1508.4188577346467
FDQ56,OUT045,1272.1218886226056
NCC54,OUT019,2418.638074604733
FDU11,OUT049,2215.764831736893
DRL59,OUT013,638.3128883902937
FDM24,OUT049,2728.34004846713
FDI57,OUT045,3136.104954559474
DRC12,OUT018,3486.9188702528472
NCM42,OUT027,3198.691519686832
FDA46,OUT010,1297.576781072235
FDA31,OUT013,2416.9883140645525
NCJ31,OUT035,3176.742981958945
FDG52,OUT046,700.6564978434203
NCL19,OUT019,1110.354248684465
FDS10,OUT035,2481.223000272788
FDX22,OUT010,1813.2215441992876
NCF19,OUT035,393.50588327843434
NCE06,OUT046,2435.1905233044818
DRC27,OUT046,3785.427522269152
FDE21,OUT035,1486.1606075681698
NCR42,OUT019,0.0
FDX51,OUT018,3575.0568268728503
NCR06,OUT018,1182.083406152903
FDU31,OUT027,4921.448774787619
FDU59,OUT017,2222.3648902142722
FDR03,OUT027,4755.0891551291115
FDS49,OUT027,2656.2014226790807
FDD48,OUT010,254.46375716973398
NCF18,OUT017,2685.9509950588063
NCD43,OUT027,3119.3133592595113
NCD54,OUT018,2728.2917478100035
FDY19,OUT010,277.85143073762583
NCY54,OUT017,2261.2553289330035
NCL19,OUT018,2771.7676989552547
FDP23,OUT010,1849.9129406350476
FDC26,OUT013,1408.3261911758896
FDR14,OUT010,0.0
NCS41,OUT035,2480.8085969496606
FDF41,OUT035,3373.756072728792
FDU34,OUT046,1903.0281905805791
DRH11,OUT046,831.6868994620631
FDM03,OUT013,1338.343221360943
FDS31,OUT017,2609.7351481776914
FDJ20,OUT017,1612.7297091281935
FDV44,OUT027,4445.736463055249
FDG02,OUT049,3383.4774775668266
FDA09,OUT013,2704.6573813787854
FDT04,OUT013,290.064778152308
FDL58,OUT019,2881.8387253049414
FDE52,OUT045,1496.2016574182462
FDW12,OUT035,1929.990138425855
FDL51,OUT017,3135.8099496329314
NCY42,OUT027,3712.2039629789124
FDR07,OUT017,1213.3157326307305
FDN40,OUT045,2350.2712096767873
FDB35,OUT027,2889.6113433967066
FDA22,OUT017,2289.381214511088
NCL06,OUT046,4047.363323829076
FDI35,OUT013,2634.6780853884675
NCW42,OUT045,3478.053215739039
NCX06,OUT049,3250.8876257622424
FDC37,OUT027,3158.0210121808777
FDZ14,OUT018,2393.4498674941606
DRG49,OUT049,4196.384195073792
NCG06,OUT045,4062.2403133279013
DRC36,OUT045,2794.5793185397106
FDV21,OUT019,428.6049108604202
FDB53,OUT046,2163.7407927089057
DRP47,OUT019,2493.9770674757833
FDA14,OUT013,2020.419937111531
DRC24,OUT035,2062.8360779780173
FDW21,OUT018,2130.6156801267107
NCH29,OUT046,1520.8725595695187
FDU58,OUT013,2796.011709413465
FDY27,OUT017,2533.951434719822
FDV56,OUT035,1415.9338638178974
FDT59,OUT046,3621.8663311658493
FDB23,OUT046,3619.112199675492
FDR49,OUT045,606.1741875295024
FDB03,OUT010,1978.3480811411928
FDN39,OUT045,2734.2130396671737
FDX02,OUT027,4919.078062965122
FDQ16,OUT027,3144.4406509365936
FDU35,OUT018,1948.648973885115
NCT29,OUT013,1663.2451069501253
FDZ27,OUT046,774.0096762891585
FDN57,OUT017,1939.389303655439
FDA03,OUT018,2767.2112075898494
FDZ36,OUT045,2922.631520429305
NCU05,OUT013,1031.4558390433417
FDT39,OUT018,2909.061277070892
FDK60,OUT017,1218.9583832339918
FDZ25,OUT017,2447.2503443098567
FDG12,OUT046,1975.3236604611693
DRB01,OUT019,1709.8852743033772
NCC43,OUT027,5300.882710608781
FDX13,OUT019,2672.020984676128
FDM22,OUT049,1270.013532301704
FDJ03,OUT027,2212.4559086161394
FDU14,OUT018,4424.847487781764
FDB33,OUT010,1009.1746661365096
FDP27,OUT046,2853.59194799287
FDO38,OUT010,0.0
FDE28,OUT027,4982.754356122807
FDO27,OUT035,955.4205846466216
DRL23,OUT027,3178.4381048953464
FDS28,OUT046,834.3272538586293
FDX24,OUT013,1264.4302669450626
FDZ02,OUT035,1174.6349509627685
FDL46,OUT045,1860.387679952123
FDS60,OUT027,4258.204075934502
NCO06,OUT017,173.99755277683062
FDO16,OUT035,993.9588390911663
FDC60,OUT049,1672.3080987881144
FDA48,OUT018,3782.0333151985014
FDZ36,OUT027,4460.4537465643025
FDK27,OUT045,1978.5939653486912
FDW23,OUT018,995.6933950065759
FDM14,OUT018,2222.848571507565
FDM14,OUT013,1518.586193243521
FDW60,OUT018,3298.774051508539
FDE21,OUT013,1637.2043353999206
NCM42,OUT035,1364.8098626482188
FDY59,OUT010,0.0
DRI49,OUT049,1464.4233555392398
FDT28,OUT019,1114.4902309399044
FDQ22,OUT018,1112.8206908153547
FDR60,OUT049,1446.8788379190423
FDC50,OUT019,36.78396945170971
FDV24,OUT013,2052.834613229305
DRF48,OUT010,1511.73997173293
FDQ47,OUT046,395.48529138362846
DRN36,OUT049,1917.9128226541561
NCY06,OUT035,1618.3608000436702
FDE52,OUT035,1084.7364071697798
NCB54,OUT045,2007.6412068253621
NCF31,OUT035,2005.0733558871966
FDJ08,OUT027,4322.276700954089
NCC07,OUT017,1442.8339362334427
NCD19,OUT027,2348.9667808786003
