,PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Port
0,0001_01,1,0,0,39.0,0,0.0,0.0,0.0,0.0,0.0,False,0,0
1,0002_01,0,0,0,24.0,0,109.0,9.0,25.0,549.0,44.0,True,1,1
2,0003_01,1,0,0,58.0,1,43.0,3576.0,0.0,6715.0,49.0,False,2,1
3,0003_02,1,0,0,33.0,0,0.0,1283.0,371.0,3329.0,193.0,False,2,1
4,0004_01,0,0,0,16.0,0,303.0,70.0,151.0,565.0,2.0,True,1,1
5,0005_01,0,0,1,44.0,0,0.0,483.0,0.0,291.0,0.0,True,1,0
6,0006_01,0,0,0,26.0,0,42.0,1539.0,3.0,0.0,0.0,True,1,1
7,0006_02,0,1,0,28.0,0,0.0,0.0,0.0,0.0,304.8547912992357,True,3,1
8,0007_01,0,0,0,35.0,0,0.0,785.0,17.0,216.0,0.0,True,1,1
9,0008_01,1,1,2,14.0,0,0.0,0.0,0.0,0.0,0.0,True,0,0
10,0008_02,1,1,0,34.0,0,0.0,0.0,173.72916912197996,0.0,0.0,True,0,0
11,0008_03,1,0,2,45.0,0,39.0,7295.0,589.0,110.0,124.0,True,0,0
12,0009_01,2,0,0,32.0,0,73.0,0.0,1123.0,0.0,113.0,True,1,0
13,0010_01,0,0,0,48.0,0,719.0,1.0,65.0,0.0,24.0,False,3,1
14,0011_01,0,0,0,28.0,0,8.0,974.0,12.0,2.0,7.0,True,1,0
15,0012_01,0,0,0,31.0,0,32.0,0.0,876.0,0.0,0.0,False,3,1
16,0014_01,2,0,2,27.0,0,1286.0,122.0,173.72916912197996,0.0,0.0,False,1,0
17,0015_01,0,0,2,24.0,0,0.0,1.0,0.0,0.0,637.0,False,1,0
18,0016_01,2,1,0,45.0,0,0.0,0.0,0.0,0.0,0.0,True,1,0
19,0017_01,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,True,3,0
20,0017_02,0,0,2,14.0,0,412.0,0.0,1.0,0.0,679.0,False,1,0
21,0020_01,0,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,False,4,1
22,0020_02,0,1,2,49.0,0,0.0,0.0,0.0,0.0,0.0,False,4,1
23,0020_03,0,1,2,29.0,0,0.0,0.0,173.72916912197996,0.0,0.0,False,4,1
24,0020_04,0,0,0,10.0,0,0.0,0.0,0.0,0.0,0.0,True,4,1
25,0020_05,0,1,1,1.0,0,224.687617481203,0.0,0.0,0.0,0.0,False,4,1
26,0020_06,0,0,0,7.0,0,0.0,0.0,0.0,0.0,0.0,False,4,1
27,0022_01,2,0,0,21.0,0,980.0,2.0,69.0,0.0,0.0,False,5,0
28,0024_01,1,1,0,62.0,0,0.0,0.0,173.72916912197996,0.0,0.0,True,6,1
